Tier,Agency,Owner,City,Niche,Website,Instagram,Contact,Confidence,LeadWithDemo,Source,Status
1,Sabàtika Tours,Sara Enríquez,Valencia,Photo safaris + honeymoons,sabatikatours.com,@sabatikatours,IG DM,High,Tanzania,instagram.com/sabatikatours,
1,Africae Travel,,Sevilla,Bespoke African safaris + honeymoons,africaetravel.com,@africaetravel,info@africaetravel.com / 900 525 835,High,Tanzania,africaetravel.com/sobre-nosotros,
1,Elefant Travel,Gonzalo Gimeno,Madrid/Barcelona,Luxury safari atelier (Traveller Made),elefant.com.es,@elefanttravel,LinkedIn / 91 279 79 21,High,Tanzania,linkedin.com/in/gonzalogimeno,
1,Bárbara Cortés,Bárbara Cortés,Madrid,Luxury honeymoons & bespoke,barbaracortes.com,@barbaracortestravel,IG DM / web form,High,Maldivas,barbaracortes.com/sobre-mi,
1,Voiash,Borja Reyes,Madrid,All-bespoke + honeymoons,voiash.es,@voiash,IG DM / web form,High,Maldivas,voiash.es/nosotros,
1,PouTravel,Pilar Pou,Barcelona,A medida; honeymoons; private safaris; family,poutravel.com,@poutravel,martina@poutravel.com / 93 414 16 06,High,Tanzania,poutravel.com/nuestra-historia,
1,Qualia Viajes,,Bilbao,Independent bespoke (safari + Zanzíbar),qualiaviajes.com,,hola@qualiaviajes.com / 944 052 025,High,Tanzania,qualiaviajes.com/quienes-somos,
1,Belula Travel,Isabel Devasa,A Coruña,Founder-led luxury travel designer,belulatravel.com,@belulatravel,IG DM,High,Maldivas,belulatravel.com,
2,Bhárad Travel,,Sevilla,Bespoke; novios; Botswana/Zanzíbar,bharad.es,@viajesbharad,955 522 530 / web form,High,Tanzania,instagram.com/viajesbharad,
2,Latitud 36 Norte,,Málaga,A medida; honeymoons; exotic,latitud36norte.com,@latitud36norte,contacto@latitud36norte.com / 696 596 172,High,Maldivas,instagram.com/latitud36norte,
2,Travelmakers,,Vigo,Honeymoon specialist; exotic,travelmakers.es,@viajes.travelmakers,info@travelmakers.es / 986 913 051,High,Maldivas,instagram.com/viajes.travelmakers,
2,Candal Tours,,A Coruña,Artisanal bespoke honeymoons,candaltours.com,@candal_tours,reservatucita@candaltours.com / 881 917 776,High,Maldivas,candaltours.com,
2,Indigo Expediciones,,Tenerife,Bespoke honeymoons; Kenia/Tanzania,indigoexpediciones.com,@indigoexpediciones,+34 922 281 597,High,Tanzania,indigoexpediciones.com/novios,
2,Tiaki Viajes,,Xàtiva (Valencia),Honeymoons & grandes viajes a medida,tiakiviajes.com,@tiakiviajes,962 283 053 / IG DM,High,Maldivas,instagram.com/tiakiviajes,
2,Indira Viajes Online,,Valencia,Honeymoons a medida; Asia,indiraviajesonline.es,@indiraviajesonline,ventas@indiraviajesonline.es / 963 813 115,High,Maldivas,indiraviajesonline.es/contacto,
2,Wakea Travel,,Valencia,Honeymoons & grandes viajes,wakeatravel.es,@wakeatravel,web form / IG DM,High,Maldivas,wakeatravel.es/equipo-y-contacto,
2,Natthis,,Valencia,Bespoke long-haul incl. safaris,natthis.com,,hola@natthis.com / +34 627 749 937,Med,Tanzania,natthis.com/africa,
2,Viajes Master Internacional,,Málaga,Honeymoons; safari + beach luxury,viajesmaster.com,,web form,Med,Maldivas,viajesmaster.com/viajes-de-novios,
2,Mucho Más Que Novios,,Zaragoza,Honeymoons a medida + larga distancia,muchomasquenovios.com,@muchomasquenovios_viajes,91 752 45 07 / IG DM,Med,Maldivas,instagram.com/muchomasquenovios_viajes,
2,Viajes Bilbao Express,,Bilbao,Grandes viajes a medida (Tanzania),viajesbilbaoexpress.com,,web form,Med,Tanzania,viajesbilbaoexpress.com/grandes-viajes-a-medida,
